test_id,node,test_category,test_description,test,result,failure_reason
1,P-01,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
2,P-02,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
3,PE-01,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
4,PE-02,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
5,PE-03,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
6,PE-04,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
7,P-01,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_PE-01_Ethernet1/1,PASS
8,P-01,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_PE-02_Ethernet50/1,PASS
9,P-01,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet25/1 - P2P_LINK_TO_P-02_Ethernet25/1,PASS
10,P-01,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet26/1 - P2P_LINK_TO_PE-03_Ethernet55/1,PASS
11,P-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_PE-04_Ethernet1/1,PASS
12,P-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_PE-04_Ethernet2/1,PASS
13,P-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4/1 - P2P_LINK_TO_PE-03_Ethernet50/1,PASS
14,P-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet25/1 - P2P_LINK_TO_P-01_Ethernet25/1,PASS
15,P-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet26/1 - P2P_LINK_TO_PE-02_Ethernet55/1,PASS
16,PE-01,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_P-01_Ethernet1/1,PASS
17,PE-01,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_PE-02_Ethernet49/1,PASS
18,PE-01,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5/1 - ,PASS
19,PE-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet49/1 - P2P_LINK_TO_PE-01_Ethernet2/1,PASS
20,PE-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet50/1 - P2P_LINK_TO_P-01_Ethernet2/1,PASS
21,PE-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet55/1 - P2P_LINK_TO_P-02_Ethernet26/1,PASS
22,PE-02,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet52/1 - ,PASS
23,PE-03,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet50/1 - P2P_LINK_TO_P-02_Ethernet4/1,PASS
24,PE-03,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet55/1 - P2P_LINK_TO_P-01_Ethernet26/1,PASS
25,PE-04,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_P-02_Ethernet1/1,PASS
26,PE-04,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_P-02_Ethernet2/1,PASS
27,PE-04,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5/1 - ,FAIL,interface status: down - line protocol status: down
28,P-01,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - Overlay_Peering,PASS
29,P-02,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - Overlay_Peering,PASS
30,PE-01,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - Overlay_Peering,PASS
31,PE-02,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - Overlay_Peering,PASS
32,PE-03,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - Overlay_Peering,PASS
33,PE-04,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - Overlay_Peering,PASS
34,P-01,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet1/1 - remote: PE-01_Ethernet1/1,PASS
35,P-01,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet2/1 - remote: PE-02_Ethernet50/1,PASS
36,P-01,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet25/1 - remote: P-02_Ethernet25/1,PASS
